Bug编号,所属产品,所属模块,所属项目,相关需求,相关任务,Bug标题,关键词,严重程度,优先级,Bug类型,用例关联,所属环境,重现步骤,Bug状态,截止日期,激活次数,是否确认,抄送给,由谁创建,创建日期,影响版本,指派给,指派日期,解决者,解决方案,解决版本,解决日期,由谁关闭,关闭日期,重复ID,相关Bug,相关用例,最后修改者,修改日期,附件
9144,邦购销APP,/仔猪采购/外部苗源场准入,养殖项目2.0,,,【外部苗源场准入】点击保存，提交按钮时，报错，但未显示具体报错信息，但又找到了已审核的准入记录,,一般,3,页面表现与数据输入校验,用例内,,"<img src=““{15584.png}““ alt=““““ />


<img src=““{15585.png}““ alt=““““ />


<img src=““{15586.png}““ alt=““““ />





",已关闭,0000-00-00,1,是,,张亚群,2021/12/1,主干,Closed,2021/12/2,邱世平(嘉瑞),无法重现,主干,2021/12/1,张亚群,2021/12/2,0,,,张亚群,2021/12/2,
9142,邦购销APP,/仔猪采购/外部苗源场背调,养殖项目2.0,,,【外部苗源场背调】照片未设置必填,,一般,3,页面表现与数据输入校验,用例内,,"<img src=““{15577.png}““ alt=““““ />


<img src=““{15578.png}““ alt=““““ />

",已关闭,0000-00-00,0,是,,张亚群,2021/12/1,主干,Closed,2021/12/2,邱世平(嘉瑞),已解决,主干,2021/12/1,张亚群,2021/12/2,0,,,张亚群,2021/12/2,
9138,邦购销APP,/仔猪采购/外部苗源场背调,养殖项目2.0,,,【外部苗源场背调】1.猪场卫星定位照片需改为“猪场微信定位照片”；2.照片未自动调摄像头，而是可以直接图片上传，见附件视频,,一般,3,页面控件与业务功能实现,用例内,,"<img src=““{15569.png}““ alt=““““ />

",已关闭,0000-00-00,0,是,,张亚群,2021/12/1,主干,Closed,2021/12/2,张亚群,已解决,主干,2021/12/2,张亚群,2021/12/2,0,,,张亚群,2021/12/2,"无法发起拍照.mp4
"
9136,育肥-投苗管理,/,养殖项目2.0,,,批次档案未更新外购猪苗入库单的数量，如图（没有存在猪只调出、转群、死亡、核销的情况）,,严重,2,页面表现与数据输入校验,用例外,221环境,"[步骤]


[结果]
<img src=““{15566.png}““ alt=““““ /><img src=““{15567.png}““ alt=““““ />

[期望]

",已关闭,0000-00-00,0,是,,戴齐珍(金蝶),2021/12/1,主干,Closed,2021/12/2,包权（金蝶）,已解决,主干,2021/12/1,戴齐珍(金蝶),2021/12/2,0,,,戴齐珍(金蝶),2021/12/2,
9133,采购-供应商管理,/种猪供应商—外部种源场月度评级,养殖项目2.0,,,在采购云-供应商管理-外部种源场月度评级，选择暂存的数据点击【提交】按钮，提示没有权限操作，全功能用户，并且没有权限要求。正常应该可以正常提交。,,一般,3,页面表现与数据输入校验,用例外,,<img src=““{15559.png}““ alt=““““ />,已关闭,0000-00-00,0,是,,刘强（金蝶）,2021/12/1,主干,Closed,2021/12/1,李博（金蝶）,非问题,主干,2021/12/1,刘强（金蝶）,2021/12/1,0,,,刘强（金蝶）,2021/12/1,
9131,邦养宝,/,养殖项目2.0,,,APP意向养户提交时报错,,一般,3,页面表现与数据输入校验,,其他环境,"[步骤]
意向养户单据没有填写服务部的字段信息

[结果]
<img src=““{15557.jpeg}““ alt=““““ />
 
[期望]

",已关闭,0000-00-00,0,是,,林加嘉,2021/12/1,主干,Closed,2021/12/1,林加嘉,已解决,主干,2021/12/1,林加嘉,2021/12/1,0,,,林加嘉,2021/12/1,
9129,邦购销APP,/销售管理/销售通知单,养殖项目2.0,,,【销售通知】详情界面 字段差异,,一般,3,页面表现与数据输入校验,用例内,,"基本信息：缺少“单据编号”“单据状态”



",已关闭,0000-00-00,0,是,,张亚群,2021/12/1,主干,Closed,2021/12/2,邱世平(嘉瑞),已解决,主干,2021/12/1,张亚群,2021/12/2,0,,,张亚群,2021/12/2,
9125,公共-猪只变动,/猪只转群单,养殖项目2.0,,,转群单跨分场转群反审核后在列表提交，提交按钮报错,,一般,3,,,,"[步骤]<img src=““{15553.png}““ alt=““““ />


[结果]


[期望]

",已关闭,0000-00-00,0,是,,尹清渝（金蝶）,2021/12/1,主干,Closed,2021/12/1,姚锐东（金蝶）,已解决,主干,2021/12/1,尹清渝（金蝶）,2021/12/1,0,,,尹清渝（金蝶）,2021/12/1,
9123,邦购销APP,/销售管理/销售去向追踪,养殖项目2.0,,,【去向追踪】销售数量，输入文本后，可以提交，详情页面显示0，应限制正整数,,一般,3,页面表现与数据输入校验,用例外,,"[步骤]


[结果]
<img src=““{15551.png}““ alt=““““ />
 
[期望]

",已关闭,0000-00-00,0,是,,杨承樑,2021/12/1,主干,Closed,2021/12/2,邱世平(嘉瑞),已解决,主干,2021/12/1,杨承樑,2021/12/2,0,,,杨承樑,2021/12/2,
9118,邦养宝,/养户管理/意向养户,养殖项目2.0,,,所有单据报服务器内部错误,,一般,3,页面表现与数据输入校验,,,"<img src=““{15543.jpeg}““ alt=““““ />



",已关闭,0000-00-00,0,是,,罗洪浪,2021/12/1,主干,Closed,2021/12/1,张鹤耀(嘉瑞),非问题,主干,2021/12/1,罗洪浪,2021/12/1,0,,,罗洪浪,2021/12/1,
9111,公共-猪只变动,/猪只转群单,养殖项目2.0,,,转群单跨分场转群审核报错,,一般,3,,,,"[步骤]<img src=““{15534.png}““ alt=““““ />


[结果]


[期望]

",已关闭,0000-00-00,0,是,,尹清渝（金蝶）,2021/12/1,主干,Closed,2021/12/1,姚锐东（金蝶）,非问题,主干,2021/12/1,尹清渝（金蝶）,2021/12/1,0,,,尹清渝（金蝶）,2021/12/1,
9109,公共-免疫管理,/免疫程序,养殖项目2.0,,,业务单元为分公司层级时，新增没看到“适用类型”字段,,一般,3,,,,"[步骤]
<img src=““{15531.png}““ alt=““““ />
<img src=““{15530.png}““ alt=““““ />

[结果]


[期望]
<img src=““{15529.png}““ alt=““““ />
",已关闭,0000-00-00,0,是,,陈琳文(金蝶),2021/12/1,主干,Closed,2021/12/1,姚锐东（金蝶）,非问题,主干,2021/12/1,陈琳文(金蝶),2021/12/1,0,,,陈琳文(金蝶),2021/12/1,
9101,邦购销APP,/销售管理/销售去向追踪,养殖项目2.0,,,【去向追踪】详情页面，批次档案 字段 没有显示出来,,一般,3,页面表现与数据输入校验,用例外,,"[步骤]


[结果]
<img src=““{15516.png}““ alt=““““ />
 
[期望]

",已关闭,0000-00-00,0,是,,杨承樑,2021/12/1,主干,Closed,2021/12/2,邱世平(嘉瑞),已解决,主干,2021/12/1,杨承樑,2021/12/2,0,,,杨承樑,2021/12/2,
9100,邦养宝,/养户管理/养户准入评分,养殖项目2.0,,,养户准入评分暂存报错,,一般,3,页面表现与数据输入校验,,,"

<img src=““{15515.jpeg}““ alt=““““ />
",已关闭,0000-00-00,0,是,,罗洪浪,2021/12/1,主干,Closed,2021/12/2,包权（金蝶）,已解决,主干,2021/12/2,罗洪浪,2021/12/2,0,,,罗洪浪,2021/12/2,
9097,邦养宝,/养户管理/意向金,养殖项目2.0,,,意向金控制附件必传才能提交,,一般,3,页面表现与数据输入校验,,,"

<img src=““{15510.png}““ alt=““““ />
",已关闭,0000-00-00,0,是,,罗洪浪,2021/12/1,主干,Closed,2021/12/1,张鹤耀(嘉瑞),已解决,主干,2021/12/1,罗洪浪,2021/12/1,0,,,罗洪浪,2021/12/1,
9096,销售-交易管理,/去向追踪记录,养殖项目2.0,,,【去向追踪】组织过滤及默认查询条件问题,,一般,3,页面表现与数据输入校验,用例外,,"[步骤]


[结果]
<img src=““{15508.png}““ alt=““““ />

[期望]
<img src=““{15509.png}““ alt=““““ />
",已关闭,0000-00-00,1,是,,杨承樑,2021/12/1,主干,Closed,2021/12/1,聂志朋,已解决,主干,2021/12/1,杨承樑,2021/12/1,0,,,杨承樑,2021/12/1,
9094,邦购销APP,/销售管理/销售去向追踪,养殖项目2.0,,,【去向追踪】列表页面，下面的字段没有带出来,,一般,3,页面表现与数据输入校验,用例外,,"[步骤]


[结果]
<img src=““{15506.png}““ alt=““““ />
 
[期望]

",已关闭,0000-00-00,0,是,,杨承樑,2021/12/1,主干,Closed,2021/12/2,邱世平(嘉瑞),已解决,主干,2021/12/1,杨承樑,2021/12/2,0,,,杨承樑,2021/12/2,
9093,邦购销APP,/销售管理/销售去向追踪,养殖项目2.0,,,【去向追踪】过磅重量 ，保留2位小数,,一般,3,页面控件与业务功能实现,用例外,,"[步骤]


[结果]
<img src=““{15505.png}““ alt=““““ />
 
[期望]

",已关闭,0000-00-00,0,是,,杨承樑,2021/12/1,主干,Closed,2021/12/2,邱世平(嘉瑞),已解决,主干,2021/12/1,杨承樑,2021/12/2,0,,,杨承樑,2021/12/2,
9090,邦养宝,/养户管理/意向养户,养殖项目2.0,,,意向养户新增时身份证国徽像必须上传,,一般,3,页面表现与数据输入校验,,,"


",已关闭,0000-00-00,1,是,,罗洪浪,2021/12/1,主干,Closed,2021/12/1,罗洪浪,已解决,主干,2021/12/1,罗洪浪,2021/12/1,0,,,罗洪浪,2021/12/1,
9089,邦购销APP,/销售管理/销售去向追踪,养殖项目2.0,,,【去向追踪】已提交的单据，到详情页面， 不应该有保存操作按钮，已提交状态的单据是不允许修改的，只有暂存状态的单据可以修改。,,一般,3,页面表现与数据输入校验,用例外,,"[步骤]


[结果]
<img src=““{15499.png}““ alt=““““ />
 
[期望]

",已关闭,0000-00-00,0,是,,杨承樑,2021/12/1,主干,Closed,2021/12/2,邱世平(嘉瑞),已解决,主干,2021/12/1,杨承樑,2021/12/2,0,,,杨承樑,2021/12/2,
9088,邦购销APP,/销售管理/销售去向追踪,养殖项目2.0,,,【去向追踪】详情页面，没有带出销售单，已提交的单据，字段应该都是锁定的。,,一般,3,页面表现与数据输入校验,用例外,,"[步骤]


[结果]
<img src=““{15498.png}““ alt=““““ />
 
[期望]

",已关闭,0000-00-00,0,是,,杨承樑,2021/12/1,主干,Closed,2021/12/2,邱世平(嘉瑞),已解决,主干,2021/12/1,杨承樑,2021/12/2,0,,,杨承樑,2021/12/2,
9087,邦购销APP,/销售管理/销售去向追踪,养殖项目2.0,,,【去向追踪】已提交的单据，详情页面，业务日期字段多了时分秒,,一般,3,页面表现与数据输入校验,用例外,,"[步骤]


[结果]
<img src=““{15496.png}““ alt=““““ />
 
[期望]

",已关闭,0000-00-00,0,是,,杨承樑,2021/12/1,主干,Closed,2021/12/2,邱世平(嘉瑞),已解决,主干,2021/12/1,杨承樑,2021/12/2,0,,,杨承樑,2021/12/2,
9080,采购-供应商管理,/种猪供应商—外部种源场月度评级,养殖项目2.0,,,在采购云-供应商管理-外部种源场月度评级，单据内的“评定等级”字段需要允许修改。（当前是锁定不给编辑）,,一般,3,页面表现与数据输入校验,用例外,,<img src=““{15483.png}““ alt=““““ />,已关闭,0000-00-00,0,是,,刘强（金蝶）,2021/11/30,主干,Closed,2021/12/1,李博（金蝶）,已解决,主干,2021/12/1,刘强（金蝶）,2021/12/1,0,,,刘强（金蝶）,2021/12/1,
9079,育肥-成本管理,/,养殖项目2.0,,,关账-点击关账反关账出现报错,,一般,3,页面表现与数据输入校验,用例外,221环境,"[步骤]
前提条件：存在未审核的单据删除后

[结果]
<img src=““{15481.png}““ alt=““““ />
 
[期望]
预期结果：
反关账成功",已关闭,0000-00-00,0,是,,戴齐珍(金蝶),2021/11/30,主干,Closed,2021/12/1,包权（金蝶）,已解决,主干,2021/12/1,戴齐珍(金蝶),2021/12/1,0,,,戴齐珍(金蝶),2021/12/1,
9070,邦购销APP,/销售管理/销售去向追踪,养殖项目2.0,,,【去向追踪】APP缺少需规中的业务组织，分公司字段,,一般,3,页面表现与数据输入校验,用例外,,"[步骤]


[结果]


[期望]
<img src=““{15456.png}““ alt=““““ />
",已关闭,0000-00-00,0,是,,杨承樑,2021/11/30,主干,Closed,2021/12/2,邱世平(嘉瑞),已解决,主干,2021/12/1,杨承樑,2021/12/2,0,,,杨承樑,2021/12/2,
9069,邦购销APP,/销售管理/销售去向追踪,养殖项目2.0,,,【去向追踪】业务日期为空，没有获取到日期，也无法修改,,一般,3,页面表现与数据输入校验,用例外,,"[步骤]


[结果]
<img src=““{15454.png}““ alt=““““ />
 
[期望]
<img src=““{15455.png}““ alt=““““ />
",已关闭,0000-00-00,0,是,,杨承樑,2021/11/30,主干,Closed,2021/12/2,邱世平(嘉瑞),已解决,主干,2021/11/30,杨承樑,2021/12/2,0,,,杨承樑,2021/12/2,
9068,销售-交易管理,/销售监磅,养殖项目2.0,,,【销售监磅】已提交或已审核的单据分录的增删操作按钮  应不能操作,,一般,3,页面表现与数据输入校验,用例外,,"[步骤]
<img src=““{15453.png}““ alt=““““ />

[结果]
<img src=““{15452.png}““ alt=““““ />

[期望]

",已关闭,0000-00-00,0,是,,杨承樑,2021/11/30,主干,Closed,2021/12/1,聂志朋,已解决,主干,2021/11/30,杨承樑,2021/12/1,0,,,杨承樑,2021/12/1,
9065,邦购销APP,/销售管理/销售监磅,养殖项目2.0,,,【销售通知】缺少需规中的，业务日期，服务部字段,,一般,3,页面表现与数据输入校验,用例外,,"[步骤]


[结果]
<img src=““{15448.png}““ alt=““““ />
 
[期望]
<img src=““{15447.png}““ alt=““““ />
",已关闭,0000-00-00,0,是,,杨承樑,2021/11/30,主干,Closed,2021/12/2,胡建明（金蝶）,设计如此,主干,2021/12/1,杨承樑,2021/12/2,0,,,杨承樑,2021/12/2,
9064,育肥-上市管理,/预估结算,养殖项目2.0,,,【预估结算单】审核报错,,一般,3,逻辑关系与数据处理,用例内,其他环境,"、
审核提示如下图
<img src=““{15442.png}““ alt=““““ />但是上市通知单上有上市日龄
<img src=““{15443.png}““ alt=““““ />",已关闭,0000-00-00,0,是,,曾能,2021/11/30,主干,Closed,2021/12/1,包权（金蝶）,已解决,主干,2021/11/30,曾能,2021/12/1,0,,,曾能,2021/12/1,
9063,邦购销APP,/销售管理/销售通知单,养殖项目2.0,,,【销售通知】APP页面缺少 需规中  的‘’完成‘’字段。,,一般,3,页面表现与数据输入校验,用例外,,"[步骤]


[结果]
<img src=““{15436.png}““ alt=““““ />
 
[期望]
<img src=““{15435.png}““ alt=““““ />
",已关闭,0000-00-00,0,是,,杨承樑,2021/11/30,主干,Closed,2021/12/2,邱世平(嘉瑞),已解决,主干,2021/11/30,杨承樑,2021/12/2,0,,,杨承樑,2021/12/2,
9062,公共-物资管理,/饲料领用单,养殖项目2.0,,,(221环境)饲料领用单-新增页面，拉式生成饲料领用单后，点击保存按钮页面提示“当前实际领用超出申请数量”,,一般,3,,,221环境,<img src=““{15433.png}““ alt=““““ />,已关闭,0000-00-00,0,是,,邹宇,2021/11/30,主干,Closed,2021/11/30,姚锐东（金蝶）,已解决,主干,2021/11/30,邹宇,2021/11/30,0,,,邹宇,2021/11/30,
9060,邦购销APP,/销售管理/销售订单,养殖项目2.0,,,【销售订单】查询的结果没有按需求过滤。,,一般,3,页面表现与数据输入校验,用例外,,"[步骤]


[结果]
<img src=““{15431.png}““ alt=““““ />
 
[期望]
<img src=““{15430.png}““ alt=““““ />
",已关闭,0000-00-00,0,是,,杨承樑,2021/11/30,主干,Closed,2021/12/2,聂志朋,已解决,主干,2021/12/1,杨承樑,2021/12/2,0,,,杨承樑,2021/12/2,
9059,采购-供应商管理,/种猪供应商—外部种源场月度评级,养殖项目2.0,,,在采购云-供应商管理-外部种源场月度评级，使用调度计划触发生成的月度单，一次生成2个，一次生成3个。每批还不一样。（正常应该一次性全部生成）,,一般,3,页面表现与数据输入校验,用例外,,<img src=““{15429.png}““ alt=““““ />,已关闭,0000-00-00,0,是,,刘强（金蝶）,2021/11/30,主干,Closed,2021/11/30,李博（金蝶）,不予解决,主干,2021/11/30,刘强（金蝶）,2021/11/30,0,,,刘强（金蝶）,2021/11/30,
9043,公共-猪只变动,/猪只转群单,养殖项目2.0,,,育肥猪转后备猪时，生成的系普信息“外部引种”按钮应该关闭,,一般,3,逻辑关系与数据处理,,,"<img src=““{15375.png}““ alt=““““ />


[结果]<img src=““{15378.png}““ alt=““““ />


[期望]

",已关闭,0000-00-00,0,是,,尹清渝（金蝶）,2021/11/30,主干,Closed,2021/12/1,章征明(外包),已解决,主干,2021/12/1,尹清渝（金蝶）,2021/12/1,0,,,尹清渝（金蝶）,2021/12/1,
9042,繁殖-死淘管理,/死亡记录单,养殖项目2.0,,,【死亡记录】已存在保存状态的断奶记录的猪，死亡记录保存的时候，提示语不对,,一般,3,逻辑关系与数据处理,,,"[步骤]


[结果]<img src=““{15379.png}““ alt=““““ />


[期望]

",已关闭,0000-00-00,0,是,,杜林霏,2021/11/30,主干,Closed,2021/12/1,罗朝智（金蝶）,已解决,主干,2021/11/30,杜林霏,2021/12/1,0,,,杜林霏,2021/12/1,
9041,育肥-成本管理,/,养殖项目2.0,,,服务部批次合并批次-列表多出按钮，如图,,一般,3,页面表现与数据输入校验,用例外,221环境,"[步骤]


[结果]
<img src=““{15373.png}““ alt=““““ />

[期望]
<img src=““{15374.png}““ alt=““““ />
",已关闭,0000-00-00,0,是,,戴齐珍(金蝶),2021/11/30,主干,Closed,2021/11/30,卢长伟(金蝶),已解决,主干,2021/11/30,戴齐珍(金蝶),2021/11/30,0,,,戴齐珍(金蝶),2021/11/30,
9039,繁殖-经产管理,/断奶记录,养殖项目2.0,,,【断奶记录】断奶仔猪(公/母)带出不对,,一般,3,逻辑关系与数据处理,,,"[步骤]


[结果]<img src=““{15369.png}““ alt=““““ />
<img src=““{15370.png}““ alt=““““ />

[期望]

",已关闭,0000-00-00,0,是,,杜林霏,2021/11/30,主干,Closed,2021/11/30,尹清渝（金蝶）,非问题,主干,2021/11/30,余宾,2021/11/30,0,,,余宾,2021/11/30,
9038,育肥-投苗管理,/,养殖项目2.0,,,批次档案-提交会提示请填写性别，实际单据内没有性别这个字段,,一般,3,页面表现与数据输入校验,用例外,221环境,"[步骤]


[结果]
<img src=““{15364.png}““ alt=““““ />

[期望]
预期结果：去掉性别字段，提交能成功",已关闭,0000-00-00,1,是,,戴齐珍(金蝶),2021/11/30,主干,Closed,2021/11/30,戴齐珍(金蝶),外部原因,主干,2021/11/30,戴齐珍(金蝶),2021/11/30,0,,,戴齐珍(金蝶),2021/11/30,
9037,繁殖-经产管理,/分娩记录,养殖项目2.0,,,【分娩记录】耳号筛选问题 -只能筛选出怀孕母猪 并且状态是在场的  ,,一般,3,页面表现与数据输入校验,,,"[步骤]


[结果]<img src=““{15366.png}““ alt=““““ />


[期望]

",已关闭,0000-00-00,0,是,,杜林霏,2021/11/30,主干,Closed,2021/12/1,章征明(外包),已解决,主干,2021/11/30,杜林霏,2021/12/1,0,,,杜林霏,2021/12/1,
9036,公共-物资管理,/饲料领用申请,养殖项目2.0,,,物资管理-饲料领用列表-领料类型等于“退库”时，需要用红色字体标注,,一般,3,,,,"[步骤]
提交饲料类型为“退库”的饲料领用申请单

[结果]
<img src=““{15361.png}““ alt=““““ />

[期望]
<img src=““{15363.png}““ alt=““““ />
<img src=““{15362.png}““ alt=““““ />
",已关闭,0000-00-00,0,是,,陈琳文(金蝶),2021/11/30,主干,Closed,2021/11/30,许涛泳（金蝶）,已解决,主干,2021/11/30,陈琳文(金蝶),2021/11/30,0,,,陈琳文(金蝶),2021/11/30,
9032,公共-物资管理,/饲料领用申请,养殖项目2.0,,,饲料领用申请-新增页面，未输入领用明细的单据也可以审核成功,,一般,3,,,,"<img src=““{15355.png}““ alt=““““ />

",已关闭,0000-00-00,0,是,,邹宇,2021/11/30,主干,Closed,2021/11/30,许涛泳（金蝶）,已解决,主干,2021/11/30,邹宇,2021/11/30,0,,,邹宇,2021/11/30,
9031,邦购销APP,/销售管理/车辆备案,养殖项目2.0,,,【车辆备案】APP端的内部车辆缺少逻辑,,一般,3,需求变更,需求外,,"[步骤]


[结果]


[期望]

",已关闭,0000-00-00,0,是,,杨承樑,2021/11/30,主干,Closed,2021/12/2,胡建明（金蝶）,已解决,主干,2021/11/30,杨承樑,2021/12/2,0,,,杨承樑,2021/12/2,
9027,繁殖-死淘管理,/淘汰鉴定表,养殖项目2.0,,,【淘汰鉴定】淘汰鉴定已保存锁定某耳号，公猪管理-调教记录保存有校验锁定，但是提交没有校验,,一般,3,逻辑关系与数据处理,,,"[步骤]
[结果]
[期望]
",已关闭,0000-00-00,0,是,,杜林霏,2021/11/30,主干,Closed,2021/12/1,罗朝智（金蝶）,已解决,主干,2021/11/30,杜林霏,2021/12/1,0,,,杜林霏,2021/12/1,
9026,邦购销APP,/销售管理/车辆备案,养殖项目2.0,,,【车辆备案】APP端提交数据后，单据状态是已提交。已提交状态的单据，查看详情，所有的字段都是锁定的，不能输入的；但是图中还是可以输入,,一般,3,页面表现与数据输入校验,用例外,,"[步骤]


[结果]
<img src=““{15349.png}““ alt=““““ />
 
[期望]

",已关闭,0000-00-00,0,是,,杨承樑,2021/11/30,主干,Closed,2021/12/2,邱世平(嘉瑞),已解决,主干,2021/11/30,杨承樑,2021/12/2,0,,,杨承樑,2021/12/2,
9025,育肥-成本管理,/,养殖项目2.0,,,服务部批次合并-单据内按钮多出新增、删除、提交、提交并新增、打印按钮,,一般,3,页面表现与数据输入校验,用例外,221环境,"[步骤]


[结果]
<img src=““{15348.png}““ alt=““““ />

[期望]
<img src=““{15346.png}““ alt=““““ />
",已关闭,0000-00-00,0,是,,戴齐珍(金蝶),2021/11/30,主干,Closed,2021/11/30,卢长伟(金蝶),已解决,主干,2021/11/30,戴齐珍(金蝶),2021/11/30,0,,,戴齐珍(金蝶),2021/11/30,
9023,公共-租赁栏舍,/租金分摊设置,养殖项目2.0,,,【租金分摊设置】列表财务组织改名核算组织,,一般,3,页面表现与数据输入校验,用例内,其他环境,"<img src=““{15345.png}““ alt=““““ />

",已关闭,0000-00-00,0,是,,曾能,2021/11/30,主干,Closed,2021/12/1,包权（金蝶）,已解决,主干,2021/11/30,曾能,2021/12/1,0,,,曾能,2021/12/1,
9022,邦购销APP,/销售管理/车辆备案,养殖项目2.0,,,【车辆备案】选择不合格时，不合格原因不点击，直接提交。PC端显示为空,,一般,3,页面表现与数据输入校验,用例外,,"[步骤]
<img src=““{15344.png}““ alt=““““ />
 
[结果]
<img src=““{15343.png}““ alt=““““ />
 
[期望]

",已关闭,0000-00-00,0,是,,杨承樑,2021/11/30,主干,Closed,2021/12/2,邱世平(嘉瑞),已解决,主干,2021/11/30,杨承樑,2021/12/2,0,,,杨承樑,2021/12/2,
9021,育肥-成本管理,/,养殖项目2.0,,,成本管理-服务部批次合并-服务部字段没有锁定,,一般,3,页面表现与数据输入校验,用例外,其他环境,"[步骤]


[结果]
<img src=““{15342.png}““ alt=““““ />

[期望]
服务部字段需要锁定",已关闭,0000-00-00,0,是,,戴齐珍(金蝶),2021/11/30,主干,Closed,2021/12/2,卢长伟(金蝶),已解决,主干,2021/11/30,戴齐珍(金蝶),2021/12/2,0,,,戴齐珍(金蝶),2021/12/2,
9020,邦购销APP,/销售管理/车辆备案,养殖项目2.0,,,【车辆备案】新增单据，APP端在查看详情，淘汰类型是黑名单，实际应该是空，PC端显示正确，APP显示错误。,,一般,3,页面表现与数据输入校验,用例外,,"[步骤]


[结果]
<img src=““{15340.png}““ alt=““““ />
 
[期望]
<img src=““{15341.png}““ alt=““““ />
",已关闭,0000-00-00,0,是,,杨承樑,2021/11/30,主干,Closed,2021/12/2,邱世平(嘉瑞),已解决,主干,2021/11/30,杨承樑,2021/12/2,0,,,杨承樑,2021/12/2,
9018,繁殖-经产管理,/配种记录,养殖项目2.0,,,【配种记录】锁定机制问题,,一般,3,逻辑关系与数据处理,,,"[步骤]


[结果]<img src=““{15338.png}““ alt=““““ />
<img src=““{15339.png}““ alt=““““ />

[期望]

",已关闭,0000-00-00,1,是,,杜林霏,2021/11/30,主干,Closed,2021/12/1,罗朝智（金蝶）,已解决,主干,2021/12/1,杜林霏,2021/12/1,0,,,杜林霏,2021/12/1,
9015,邦购销APP,/销售管理/车辆备案,养殖项目2.0,,,【车辆备案】不合格  时，不合格原因是必填。,,一般,3,页面表现与数据输入校验,用例外,,"[步骤]
<img src=““{15336.png}““ alt=““““ />
 
[结果]
<img src=““{15330.png}““ alt=““““ />
 
[期望]

",已关闭,0000-00-00,0,是,,杨承樑,2021/11/30,主干,Closed,2021/12/2,邱世平(嘉瑞),已解决,主干,2021/11/30,杨承樑,2021/12/2,0,,,杨承樑,2021/12/2,
9008,采购-供应商管理,/种猪供应商—外部种源场月度评级,养殖项目2.0,,,在采购云-供应商管理-外部种源场月度评级，“200日龄未发情率”数据未“15%”的时候，没有分数。按照计算规则应该是5分。,,一般,3,页面表现与数据输入校验,用例外,,<img src=““{15322.png}““ alt=““““ />,已关闭,0000-00-00,0,是,,刘强（金蝶）,2021/11/30,主干,Closed,2021/11/30,李博（金蝶）,已解决,主干,2021/11/30,刘强（金蝶）,2021/11/30,0,,,刘强（金蝶）,2021/11/30,
9007,销售-交易管理,/销售订单,养殖项目2.0,,,【销售订单】跑单后，已分配的数量 没有  返还。,,一般,3,页面表现与数据输入校验,用例外,,"[步骤]
1，审核后，跑单：
<img src=““{15319.png}““ alt=““““ />
[结果]
<img src=““{15320.png}““ alt=““““ />

[期望]

",已关闭,0000-00-00,0,是,,杨承樑,2021/11/30,主干,Closed,2021/12/1,聂志朋,已解决,主干,2021/11/30,杨承樑,2021/12/1,0,,,杨承樑,2021/12/1,
9001,育肥-上市管理,/,养殖项目2.0,,,【预估结算单】猪苗还原基础价，字段不要了，删除或隐藏。,,一般,3,页面表现与数据输入校验,用例内,其他环境,"<img src=““{15304.png}““ alt=““““ />

",已关闭,0000-00-00,0,是,,曾能,2021/11/30,主干,Closed,2021/11/30,包权（金蝶）,已解决,主干,2021/11/30,曾能,2021/11/30,0,,,曾能,2021/11/30,
8997,繁殖-死淘管理,/,养殖项目2.0,,,该猪已经存在“暂存”的分娩记录，做鉴定单时还可以保存，再继续操作分娩记录时提示该猪已经锁定  期待：操作鉴定单时就要提示锁定了,,一般,3,,,,"[步骤]
<img src=““{15292.png}““ alt=““““ />
 
[期待]

",已关闭,0000-00-00,0,是,,尹清渝（金蝶）,2021/11/29,主干,Closed,2021/11/30,罗朝智（金蝶）,已解决,主干,2021/11/30,尹清渝（金蝶）,2021/11/30,0,,,尹清渝（金蝶）,2021/11/30,
8995,繁殖-死淘管理,/,养殖项目2.0,,,该猪已经存在“暂存”的鉴定单，做妊娠记录时还可以保存,,一般,3,,,,"[步骤]<img src=““{15286.png}““ alt=““““ />


[期待]保存时就提示该猪已经锁定

",已关闭,0000-00-00,0,是,,尹清渝（金蝶）,2021/11/29,主干,Closed,2021/11/30,罗朝智（金蝶）,已解决,主干,2021/11/30,尹清渝（金蝶）,2021/11/30,0,,,尹清渝（金蝶）,2021/11/30,
8994,繁殖-死淘管理,/,养殖项目2.0,,,修改锁猪时的提示,,一般,3,,,,"[步骤]
<img src=““{15282.png}““ alt=““““ />

[结果]


[期望]修改为：“当前耳牌已被xxx业务单据占用，请先把对应单据删除或审核（解除占用）后再执行此操作”<img src=““{15283.png}““ alt=““““ />

",已关闭,0000-00-00,0,是,,尹清渝（金蝶）,2021/11/29,主干,Closed,2021/11/30,罗朝智（金蝶）,已解决,主干,2021/11/30,尹清渝（金蝶）,2021/11/30,0,,,尹清渝（金蝶）,2021/11/30,
8993,繁殖-死淘管理,/死亡记录单,养殖项目2.0,,,死亡记录保持报错,,一般,3,,,,"[步骤]<img src=““{15280.png}““ alt=““““ />
<img src=““{15281.png}““ alt=““““ />填写耳牌号时保存会报错，填批次号时保存不会报错
 
[结果]


[期望]

",已关闭,0000-00-00,0,是,,尹清渝（金蝶）,2021/11/29,主干,Closed,2021/11/30,罗朝智（金蝶）,已解决,主干,2021/11/30,尹清渝（金蝶）,2021/11/30,0,,,尹清渝（金蝶）,2021/11/30,
